date,platform_id,revenue,actual_pay,orders,platform
2026-01-01,1245816093,247.03,303.46,23,饿了么
2026-01-01,1245929753,641.97,792.12,48,饿了么
2026-01-01,1247870530,384.16,418.46,23,饿了么
2026-01-01,1255498253,630.14,752.88,51,饿了么
2026-01-01,1255889858,199.17,249.9,10,饿了么
2026-01-01,1258891148,508.24,654.28,22,饿了么
2026-01-01,1258918671,881.33,1059.22,43,饿了么
2026-01-01,1259018512,0.0,0.0,0,饿了么
2026-01-01,1259059646,154.25,187.08,8,饿了么
2026-01-01,1259340987,298.57,381.11,19,饿了么
2026-01-01,1262005776,244.03,303.8,19,饿了么
2026-01-01,1263216399,514.76,673.22,34,饿了么
2026-01-01,1263529819,165.26,208.68,11,饿了么
2026-01-01,1264384838,501.15,634.48,43,饿了么
2026-01-01,1265152355,128.18,163.34,8,饿了么
2026-01-01,1265920188,88.78,108.9,5,饿了么
2026-01-01,1266251291,0.0,0.0,0,饿了么
2026-01-01,1266266294,94.86,111.88,2,饿了么
2026-01-01,1267021243,83.66,103.7,8,饿了么
2026-01-01,1267111623,298.13,332.76,17,饿了么
2026-01-01,1268526220,572.74,865.95,40,饿了么
2026-01-01,1270334640,94.61,98.97,6,饿了么
2026-01-01,1270351327,637.43,781.46,50,饿了么
2026-01-01,1271446197,0.0,0.0,0,饿了么
2026-01-01,1272591116,1031.62,1338.54,60,饿了么
2026-01-01,1273613861,545.35,695.64,36,饿了么
2026-01-01,1274532318,260.88,285.27,18,饿了么
2026-01-01,1274591841,441.4,536.2,29,饿了么
2026-01-01,1284114577,313.16,372.68,29,饿了么
2026-01-01,1284214506,0.0,0.0,0,饿了么
2026-01-01,1284249566,0.0,0.0,0,饿了么
2026-01-01,1284249614,472.54,519.8,30,饿了么
2026-01-01,1284344501,250.25,286.43,15,饿了么
2026-01-01,1284437969,150.52,174.0,10,饿了么
2026-01-01,1284505009,157.86,173.01,10,饿了么
2026-01-01,1284724520,544.25,710.76,34,饿了么
2026-01-01,1285327547,414.21,546.41,29,饿了么
2026-01-01,1286135746,0.0,0.0,0,饿了么
2026-01-01,1286225982,0.0,0.0,0,饿了么
2026-01-01,1289221864,538.18,746.96,27,饿了么
2026-01-01,1289381783,14.0,16.78,2,饿了么
2026-01-01,1293299825,536.9,744.58,32,饿了么
2026-01-01,1293344823,751.62,927.64,60,饿了么
2026-01-01,1293654596,368.06,515.61,28,饿了么
2026-01-01,1293660906,856.46,975.87,48,饿了么
2026-01-01,1293703480,315.53,418.37,30,饿了么
2026-01-01,1297201498,286.32,377.88,19,饿了么
2026-01-01,1297645945,458.04,553.58,33,饿了么
2026-01-01,1298795018,473.75,556.56,30,饿了么
2026-01-01,1301934509,19.8,25.2,2,饿了么
2026-01-01,1306936107,148.18,200.8,9,饿了么
2026-01-01,1309020771,653.61,771.68,48,饿了么
2026-01-01,1316544867,599.72,708.6,35,饿了么
2026-01-01,1317794566,0.0,0.0,0,饿了么
